Nasdaq Traded|Symbol|Security Name|Listing Exchange|Market Category|ETF|Round Lot Size|Test Issue|Financial Status|CQS Symbol|NASDAQ Symbol|NextShares
Y|ACIU|AC Immune SA - Common Stock|Q|G|N|100|N|N||ACIU|N
Y|ACIW|ACI Worldwide, Inc. - Common Stock|Q|Q|N|100|N|N||ACIW|N
Y|ACLS|Axcelis Technologies, Inc. - Common Stock|Q|Q|N|100|N|N||ACLS|N
Y|ACM|AECOM Common Stock|N| |N|100|N||ACM|ACM|N
Y|ACN|Accenture plc Class A Ordinary Shares (Ireland)|N| |N|100|N||ACN|ACN|N
Y|ACNB|ACNB Corporation - Common Stock|Q|S|N|100|N|N||ACNB|N
Y|ACOR|Acorda Therapeutics, Inc. - Common Stock|Q|Q|N|100|N|N||ACOR|N
Y|ACP|Avenue Income Credit Strategies Fund Common Shares|N| |N|100|N||ACP|ACP|N
Y|ACRE|Ares Commercial Real Estate Corporation Common Stock|N| |N|100|N||ACRE|ACRE|N
Y|ACRS|Aclaris Therapeutics, Inc. - Common Stock|Q|Q|N|100|N|N||ACRS|N
Y|ACRX|AcelRx Pharmaceuticals, Inc. - Common Stock|Q|G|N|100|N|N||ACRX|N
Y|ACSF|American Capital Senior Floating, Ltd. - Common Stock|Q|Q|N|100|N|N||ACSF|N
Y|ACSI|American Customer Satisfaction Core Alpha ETF|Z| |Y|100|N||ACSI|ACSI|N
Y|ACST|Acasti Pharma, Inc. - Class A Common Stock|Q|S|N|100|N|N||ACST|N
Y|ACTA|Actua Corporation - Common Stock|Q|Q|N|100|N|N||ACTA|N
Y|ACTG|Acacia Research Corporation - Common Stock|Q|Q|N|100|N|N||ACTG|N
Y|ACTX|Global X Guru Activist ETF|Q|G|Y|100|N|N||ACTX|N
Y|ACU|Acme United Corporation. Common Stock|A| |N|100|N||ACU|ACU|N
Y|ACV|AllianzGI Diversified Income & Convertible Fund Common Shares of Beneficial Interest|N| |N|100|N||ACV|ACV|N
Y|ACWF|iShares Edge MSCI Multifactor Global ETF|P| |Y|100|N||ACWF|ACWF|N
Y|ACWI|iShares MSCI ACWI Index Fund|Q|G|Y|100|N|N||ACWI|N
Y|ACWV|iShares Edge MSCI Min Vol Global ETF|P| |Y|100|N||ACWV|ACWV|N
Y|ACWX|iShares MSCI ACWI ex US Index Fund|Q|G|Y|100|N|N||ACWX|N
Y|ACXM|Acxiom Corporation - Common Stock|Q|Q|N|100|N|N||ACXM|N
Y|ACY|AeroCentury Corp. Common Stock|A| |N|100|N||ACY|ACY|N
Y|ADAP|Adaptimmune Therapeutics plc - American Depositary Shares|Q|Q|N|100|N|N||ADAP|N
Y|ADBE|Adobe Systems Incorporated - Common Stock|Q|Q|N|100|N|N||ADBE|N
Y|ADC|Agree Realty Corporation Common Stock|N| |N|100|N||ADC|ADC|N
Y|ADES|Advanced Emissions Solutions, Inc. - Common Stock|Q|G|N|100|N|N||ADES|N
Y|ADHD|Alcobra Ltd. - Ordinary Shares|Q|G|N|100|N|N||ADHD|N
Y|ADI|Analog Devices, Inc. - Common Stock|Q|Q|N|100|N|N||ADI|N
Y|ADK|Adcare Health Systems Inc Common Stock (GA)|A| |N|100|N||ADK|ADK|N
Y|ADK$A|Adcare Health Systems Inc 10.875% Series A Cumulative Redeemable Preferred Stock, no par value per share (GA)|A| |N|100|N||ADKpA|ADK-A|N
Y|ADM|Archer-Daniels-Midland Company Common Stock|N| |N|100|N||ADM|ADM|N
Y|ADMA|ADMA Biologics Inc - Common Stock|Q|S|N|100|N|N||ADMA|N
Y|ADMP|Adamis Pharmaceuticals Corporation - Common Stock|Q|S|N|100|N|N||ADMP|N
Y|ADMS|Adamas Pharmaceuticals, Inc. - Common Stock|Q|G|N|100|N|N||ADMS|N
Y|ADNT|Adient plc Ordinary Shares |N| |N|100|N||ADNT|ADNT|N
Y|ADOM|ADOMANI, Inc. - Common Stock|Q|S|N|100|N|N||ADOM|N
Y|ADP|Automatic Data Processing, Inc. - Common Stock|Q|Q|N|100|N|N||ADP|N
Y|ADRA|BLDRS Asia 50 ADR Index Fund|Q|G|Y|100|N|N||ADRA|N
Y|ADRD|BLDRS Developed Markets 100 ADR Index Fund|Q|G|Y|100|N|N||ADRD|N
Y|ADRE|BLDRS Emerging Markets 50 ADR Index Fund|Q|G|Y|100|N|N||ADRE|N
Y|ADRO|Aduro Biotech, Inc. - Common Stock|Q|Q|N|100|N|N||ADRO|N
Y|ADRU|BLDRS Europe 100 ADR Index Fund|Q|G|Y|100|N|N||ADRU|N
Y|ADS|Alliance Data Systems Corporation Common Stock|N| |N|100|N||ADS|ADS|N
Y|ADSK|Autodesk, Inc. - Common Stock|Q|Q|N|100|N|N||ADSK|N
Y|ADSW|Advanced Disposal Services, Inc. Common Stock|N| |N|100|N||ADSW|ADSW|N
Y|ADTN|ADTRAN, Inc. - Common Stock|Q|Q|N|100|N|N||ADTN|N
Y|ADUS|Addus HomeCare Corporation - Common Stock|Q|Q|N|100|N|N||ADUS|N
Y|ADVM|Adverum Biotechnologies, Inc. - Common Stock|Q|G|N|100|N|N||ADVM|N
Y|ADX|Adams Diversified Equity Fund Inc.|N| |N|100|N||ADX|ADX|N
Y|ADXS|Advaxis, Inc. - Common Stock|Q|Q|N|100|N|N||ADXS|N
Y|ADXSW|Advaxis, Inc. - Warrants|Q|S|N|100|N|N||ADXSW|N
Y|ADZ|DB Agriculture Short ETN due April 1, 2038|P| |N|100|N||ADZ|ADZ|N
Y|AE|Adams Resources & Energy, Inc. Common Stock|A| |N|100|N||AE|AE|N
Y|AEB|AEGON N.V. Perp. Cap. Secs. Floating Rate (Netherlands)|N| |N|100|N||AEB|AEB|N
Y|AED|AEGON N.V. Perp. Cap. Securities (Netherlands)|N| |N|100|N||AED|AED|N
Y|AEE|Ameren Corporation Common Stock|N| |N|100|N||AEE|AEE|N
Y|AEG|AEGON N.V. Common Stock|N| |N|100|N||AEG|AEG|N
Y|AEGN|Aegion Corp - Class A Common Stock|Q|Q|N|100|N|N||AEGN|N
Y|AEH|AEGON N.V. Perp. Cap Secs.|N| |N|100|N||AEH|AEH|N
Y|AEHR|Aehr Test Systems - Common Stock|Q|S|N|100|N|N||AEHR|N
Y|AEIS|Advanced Energy Industries, Inc. - Common Stock|Q|Q|N|100|N|N||AEIS|N
Y|AEK|Aegon NV 8.00% Non-Cumulative Subordinated Notes due 2042|N| |N|100|N||AEK|AEK|N
Y|AEL|American Equity Investment Life Holding Company Common Stock|N| |N|100|N||AEL|AEL|N
Y|AEM|Agnico Eagle Mines Limited Common Stock|N| |N|100|N||AEM|AEM|N
Y|AEMD|Aethlon Medical, Inc. - Common Stock|Q|S|N|100|N|D||AEMD|N
Y|AEO|American Eagle Outfitters, Inc. Common Stock|N| |N|100|N||AEO|AEO|N
Y|AEP|American Electric Power Company, Inc. Common Stock|N| |N|100|N||AEP|AEP|N
Y|AER|Aercap Holdings N.V. Ordinary Shares|N| |N|100|N||AER|AER|N
Y|AERI|Aerie Pharmaceuticals, Inc. - Common Stock|Q|G|N|100|N|N||AERI|N
Y|AES|The AES Corporation Common Stock|N| |N|100|N||AES|AES|N
Y|AES$C|AES Corporation (The) Class C Preferred Stock|N| |N|100|N||AESpC/CL|AES-C*|N
Y|AET|Aetna Inc. Common Stock|N| |N|100|N||AET|AET|N
Y|AETI|American Electric Technologies, Inc. - Common Stock|Q|S|N|100|N|N||AETI|N
Y|AEUA|Anadarko Petroleum Corporation 7.50% Tangible Equity Units|N| |N|100|N||AEUA|AEUA|N
Y|AEY|ADDvantage Technologies Group, Inc. - Common Stock|Q|G|N|100|N|N||AEY|N
Y|AEZS|Aeterna Zentaris Inc. - Common Stock|Q|S|N|100|N|N||AEZS|N
Y|AF|Astoria Financial Corporation Common Stock|N| |N|100|N||AF|AF|N
Y|AF$C|Astoria Financial Corporation Depositary Shs Repstg 1/40th Int Perp Pfd Ser C 6.5%|N| |N|100|N||AFpC|AF-C|N
Y|AFA|American Financial Group, Inc. 5.75% Senior Notes due 2042|N| |N|100|N||AFA|AFA|N
Y|AFAM|Almost Family Inc - Common Stock|Q|Q|N|100|N|N||AFAM|N
Y|AFB|AllianceBernstein National Municipal Income Fund Inc|N| |N|100|N||AFB|AFB|N
Y|AFC|Allied Capital Corporation Allied Capital Corporation 6.875% Notes due April 15, 2047|N| |N|100|N||AFC|AFC|N
Y|AFG|American Financial Group, Inc. Common Stock|N| |N|100|N||AFG|AFG|N
Y|AFGE|American Financial Group, Inc. 6.25% Subordinated Debentures due 2054|N| |N|100|N||AFGE|AFGE|N
Y|AFGH|American Financial Group, Inc. 6% Subordinated Debentures due 2055|N| |N|100|N||AFGH|AFGH|N
Y|AFH|Atlas Financial Holdings, Inc. - Ordinary Shares|Q|G|N|100|N|N||AFH|N
Y|AFHBL|Atlas Financial Holdings, Inc. - 6.625% Senior Unsecured Notes Due 2022|Q|G|N|100|N|N||AFHBL|N
Y|AFI|Armstrong Flooring, Inc. Common Stock|N| |N|100|N||AFI|AFI|N
Y|AFK|VanEck Vectors-Africa Index ETF|P| |Y|100|N||AFK|AFK|N
Y|AFL|AFLAC Incorporated Common Stock|N| |N|100|N||AFL|AFL|N
Y|AFMD|Affimed N.V. - Common Stock|Q|G|N|100|N|N||AFMD|N
Y|AFSD|Aflac Incorporated 5.50% Subordinated Debentures due September 15, 2052|N| |N|100|N||AFSD|AFSD|N
Y|AFSI|AmTrust Financial Services, Inc. - Common Stock|Q|Q|N|100|N|N||AFSI|N
Y|AFSI$A|AmTrust Financial Services, Inc. Preferred Series A|N| |N|100|N||AFSIpA|AFSI-A|N
Y|AFSI$B|AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series B|N| |N|100|N||AFSIpB|AFSI-B|N
Y|AFSI$C|AmTrust Financial Services, Inc. Depository Shares Representing 1/40th Preferred Series C|N| |N|100|N||AFSIpC|AFSI-C|N
Y|AFSI$D|AmTrust Financial Services, Inc. Depositary Shares, Each Representing 1/40th Interest in a shares of 7.50% Non-Cumulative Preferred Stock, Series D|N| |N|100|N||AFSIpD|AFSI-D|N
Y|AFSI$E|AmTrust Financial Services, Inc. Depositary Shares , Each Representing 1/40 th Interest in a Share of 7.75% Non-Cumulative Preferred Stock, Series E|N| |N|100|N||AFSIpE|AFSI-E|N
