"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"AMSF","AMERISAFE, Inc.","63","1211498505","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/amsf",
"ASRV","AmeriServ Financial Inc.","3.675","69470259.6","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrv",
"ASRVP","AmeriServ Financial Inc.","26.4","0","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asrvp",
"ATLO","Ames National Corporation","32.75","304932400.75","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/atlo",
"AFSI","AmTrust Financial Services, Inc.","27.5","4687395982.5","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afsi",
"AFSS","AmTrust Financial Services, Inc.","25.6","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afss",
"AFST","AmTrust Financial Services, Inc.","25.78","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/afst",
"ANCB","Anchor Bancorp","26.15","65511476.85","n/a","n/a","Finance","Banks","http://www.nasdaq.com/symbol/ancb",
"ANDA","Andina Acquisition Corp. II","9.931","52733610","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/anda",
"ANDAR","Andina Acquisition Corp. II","0.5","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/andar",
"ANDAU","Andina Acquisition Corp. II","10.62","17523010.62","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/andau",
"ANDAW","Andina Acquisition Corp. II","0.3","0","n/a","n/a","Finance","Business Services","http://www.nasdaq.com/symbol/andaw",
"AON","Aon plc","114.35","30084804160.1","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/aon",
"APO","Apollo Global Management, LLC","21.42","8596891938.6","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/apo",
"ACGL","Arch Capital Group Ltd.","86.47","10609353725.27","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/acgl",
"ACGLP","Arch Capital Group Ltd.","22.11","0","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/acglp",
"ARES","Ares Management L.P.","19.05","4032038189.4","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/ares",
"AGII","Argo Group International Holdings, Ltd.","65.5","1962773524","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agii",
"AGIIL","Argo Group International Holdings, Ltd.","25.03","0","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/agiil",
"AI","Arlington Asset Investment Corp","14.91","343407492.75","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/ai",
"AIC","Arlington Asset Investment Corp","22.39","0","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/aic",
"AIW","Arlington Asset Investment Corp","23.3233","0","n/a","n/a","Finance","Finance/Investors Services","http://www.nasdaq.com/symbol/aiw",
"AHH","Armada Hoffler Properties, Inc.","14.67","534360940.74","n/a","n/a","Finance","Real Estate","http://www.nasdaq.com/symbol/ahh",
"AROW","Arrow Financial Corporation","38.85","523204993.5","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/arow",
"AJG","Arthur J. Gallagher & Co.","53.14","9464893148.56","n/a","n/a","Finance","Specialty Insurers","http://www.nasdaq.com/symbol/ajg",
"APAM","Artisan Partners Asset Management Inc.","29.45","2191159191.05","n/a","n/a","Finance","Investment Managers","http://www.nasdaq.com/symbol/apam",
"ASBB","ASB Bancorp, Inc.","29.3039","110983305.1558","n/a","n/a","Finance","Savings Institutions","http://www.nasdaq.com/symbol/asbb",
"AHL","Aspen Insurance Holdings Limited","55.8","3360121322.4","n/a","n/a","Finance","Property-Casualty Insurers","http://www.nasdaq.com/symbol/ahl",
"ASB","Associated Banc-Corp","25","3761734650","n/a","n/a","Finance","Major Banks","http://www.nasdaq.com/symbol/asb",
"AC","Associated Capital Group, Inc.","33.9","859068442.8","n/a","n/a","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ac",
"AIZ","Assurant, Inc.","95.98","5472073859.06","n/a","n/a","Finance","Accident &Health Insurance","http://www.nasdaq.com/symbol/aiz",
